ccn,category,decision_question,roster_name,roster_address,header_name,header_location,header_state,declared_date,declared_version,pointer_url,file_url,blocker,options
451353,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CRANE COUNTY HOSPITAL DISTRICT,"1310 S ALFORD ST, CRANE TX 79731",Crane Memorial Hospital,,,,,https://www.cranememorial.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/BQJH-1670278124636/machine-readable/352336501_crane-memorial-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
451379,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CORYELL MEMORIAL HOSPITAL,"1507 W MAIN STREET, GATESVILLE TX 76528",Coryell Health,,,,,https://coryellhealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/FTKZ-1722971887692/machine-readable/74-1857100_coryell-health_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
453321,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DRISCOLL CHILDREN'S HOSPITAL RIO GRANDE VALLEY,"2820 W MICHAELANGELO DRIVE, EDINBURG TX 78539",Driscoll Children’s Hospital,Driscoll Children’s Hospital|Driscoll Children's Hospital Rio Grande Valley,TX,2025-10-06,2.0.0,https://driscollchildrens.org/cms-hpt.txt,https://driscollchildrens.org/wp-content/uploads/742577746-1124796081_Driscoll-Childrens-Hospital_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
461300,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),INTERMOUNTAIN HEALTH DELTA COMMUNITY HOSPITAL,"126 SOUTH WHITE SAGE AVENUE, DELTA UT 84624","IHC Health Services Inc., DBA Intermountain Health Delta Community Hospital",Intermountain Health Delta Community Hospital ,UT,2026-07-28,3.0.0,https://intermountainhealthcare.org/sc10media/files/intermountain-health/locations/hospital-prices/price-transparency.txt,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_delta-community-hospital_standardcharges.ashx,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
461301,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),INTERMOUNTAIN HEALTH FILLMORE COMMUNITY HOSPITAL,"674 SOUTH HIGHWAY 99, FILLMORE UT 84631","IHC Health Services Inc., DBA Intermountain Health Fillmore Community Hospital",Intermountain Health Fillmore Community Hospital,UT,2026-08-05,3.0.0,https://intermountainhealthcare.org/sc10media/files/intermountain-health/locations/hospital-prices/price-transparency.txt,https://intermountainhealthcare.org/-/media/files/intermountain-health/locations/hospital-prices/942854057_fillmore-community-hospital_standardcharges.ashx,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
471300,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),GRACE COTTAGE HOSPITAL,"po box 216, TOWNSHEND VT 05353",Grace Cottage Hospital,,,,,https://gracecottage.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/5f6520a384/machine-readable/030343282_grace-cottage-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
471306,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SPRINGFIELD HOSPITAL,"PO BOX 2003, SPRINGFIELD VT 05156",Springfield Hospital,,,,,https://springfieldhospital.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/XGDZ-1751991682610/machine-readable/030179437_springfield-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
490032,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MEDICAL COLLEGE OF VIRGINIA HOSPITALS,"1250 EAST MARSHALL STREET, RICHMOND VA 23298",VIRGINIA COMMONWEALTH UNIVERSITY HEALTH SYSTEM AUTHORITY,VCU Medical Center,VA,2026-01-02,3.0.0,https://www.vcuhealth.org/cms-hpt.txt,https://vcuhealth.pt.panaceainc.com/MRFDownload/vcuhealth/vcumedicalcenter,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
490104,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HIRAM W DAVIS MEDICAL CENTER,"P O BOX 4030, PETERSBURG VA 23803",Hiram W Davis Medical Center,Hiram W Davis Medical Center,VA,2025-07-21,2.0.0,https://dbhds.virginia.gov/cms-hpt.txt,https://dbhds.virginia.gov/wp-content/uploads/2025/11/541013630_hiram-w-davis-medical-center_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
490112,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CJW MEDICAL CENTER,"7101 JAHNKE ROAD, RICHMOND VA 23225",CHIPPENHAM HOSPITAL,SWIFT CREEK ER|CHIPPENHAM HOSPITAL,VA,2026-03-01,3.0.0,https://www.hcavirginia.com/cms-hpt.txt,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/54-1779911_CHIPPENHAM-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
491304,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CARILION STONEWALL JACKSON HOSPITAL,"1 HEALTH CIRCLE, LEXINGTON VA 24450",Carilion Franklin Memorial Hospital,Carilion Franklin Memorial Hospital,VA,2025-12-15,3.0.0,https://www.carilionclinic.org/sites/default/files/cms-hpt.txt,https://www.carilionclinic.org/540480606_Carilion-Franklin-Memorial-Hospital_StandardCharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
494021,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WESTERN STATE HOSPITAL,"1301 RICHMOND ROAD, STAUNTON VA 24402",Western State Hospital,Western State Hospital,VA,2025-01-01,2.0.0,https://dbhds.virginia.gov/cms-hpt.txt,https://dbhds.virginia.gov/wp-content/uploads/2025/11/546001817_western-state-hospital_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
494023,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DOMINION HOSPITAL,"2960 SLEEPY HOLLOW ROAD, FALLS CHURCH VA 22044",RETREAT DOCTORS HOSPITAL,RETREAT DOCTORS HOSPITAL,VA,2026-03-01,3.0.0,https://www.hcavirginia.com/cms-hpt.txt,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1113733_RETREAT-DOCTORS-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
494029,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SOUTHWESTERN VIRGINIA MENTAL HEALTH INSTITUTE,"340 BAGLEY CIRCLE, MARION VA 24354",Southwestern Virginia Mental Health Institute,Southwestern Virginia Mental Health Institute,VA,2025-01-01,2.0.0,https://dbhds.virginia.gov/cms-hpt.txt,https://dbhds.virginia.gov/wp-content/uploads/2025/11/546001769_southwestern-virginia-mental-health-institute_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
500044,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DEACONESS MEDICAL CENTER,"W 800 FIFTH AVENUE, SPOKANE WA 99210",MultiCare Deaconess Hospital,MultiCare Deaconess Hospital|MultiCare Deaconess North Emergency Center,WA,2026-08-27,3.0.0,https://www.multicare.org/cms-hpt.txt,https://sthpiprd.blob.core.windows.net/machine-readable-files/8063/911352172-1356528269_multicare-deaconess-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
500054,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PROV SACRED HRT MED CTR & CHILDS HOSP.,"101 WEST 8TH AVENUE, SPOKANE WA 99220",Providence Health And Services - Washington,Providence Sacred Heart Medical Center and Children's Hospital,WA,2026-04-01,3.0.0,https://www.providence.org/cms-hpt.txt,https://pricetransparency.providence.org/wamt/live/364640211_providence-sacred-hrt-med-center-and-childs-hosp_standardcharges.json,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
501316,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),KLICKITAT VALLEY HOSPITAL,"310 SOUTH ROOSEVELT, GOLDENDALE WA 98620",Klickitat Valley Hospital,Klickitat Valley Hospital,WA,2026-03-31,3.0.0,https://kvhealth.net/cms-hpt.txt,https://klickitat.pt.panaceainc.com/MRFDownload/klickitat/klickitat,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
524017,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),NORTH CENTRAL HEALTH CARE,"1150 LAKEVIEW DR, WAUSAU WI 54403",North Central Health Care,North Central Health Care,WI,2024-01-19,2.0.0,https://www.norcen.org/cms-hpt.txt,https://machine-readable-files.com/north-central-health-care/930801810_North-Central-Health-Care_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
531313,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),STAR VALLEY MEDICAL CENTER,"901 ADAMS STREET, AFTON WY 83110",Star Valley Health,Star Valley Health,WY,2024-11-12,2.0.0,https://starvalleyhealth.org/cms-hpt.txt,https://starvalleyhealth.org/wp-content/uploads/830327251_star-valley-health_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
670006,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),THE HOSPITAL AT WESTLAKE MEDICAL CENTER,"5656 BEE CAVES ROAD, SUITE M-302, AUSTIN TX 78746",THE HOSPITAL AT WESTLAKE MEDICAL CENTER,THE HOSPITAL AT WESTLAKE MEDICAL CENTER|THE HOSPITAL AT WESTLAKE MEDICAL CENTER,TX,2024-09-02,2.0.0,https://www.westlakemedical.com/cms-hpt.txt,https://www.westlakemedical.com/wp-content/uploads/2024/10/820578078_westlake-surgical_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
670090,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CRESCENT MEDICAL CENTER LANCASTER,"2600 WEST PLEASANT RUN ROAD, LANCASTER TX 75146",Crescent Regional Hospital,,,,,https://crescentregionalhospital.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/HRHW-1731105964107/machine-readable/273815440_crescent-regional-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
670314,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ST MICHAELS MEDICAL HOSPITAL LLC,"16000 SOUTHWEST FREEWAY, SUITE 100, SUGAR LAND TX 77479",,,,,,,https://24hrer.com/wp-content/uploads/2026/03/842589283_St-Michaels_-Elite-Hospital_Standardcharges.csv,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
154054,competing-files,Which pointer entry is this facility's file? (see note for candidates),HARSHA BEHAVIORAL CENTER INC,"1980 E WOODSMALL DR, TERRE HAUTE IN 47802",Harsha Behavioral Center,Harsha Behavioral Center,IN,2026-07-01,3.0.0,https://static1.squarespace.com/static/5eb1fd4c4ff16a36a9d64fb4/t/6a50a461fdd00516464d9a64/1783669857604/cms-hpt.txt,https://www.harshacenter.com/s/261091197_harsha-behavioral-center_standardcharges.csv,"2 distinct current files corroborate this facility and the pointer labels are indistinguishable (""Harsha Behavioral Center"" = ""Harsha Behavioral Center"").",pick-file-url | need-publisher
